Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-02,0.1089,0.1091,0.1087,0.1091,0,0,0
2006-01-03,0.1091,0.1091,0.1072,0.1072,0,0,0
2006-01-04,0.1072,0.1072,0.1062,0.1065,0,0,0
2006-01-05,0.1065,0.1068,0.1064,0.1065,0,0,0
2006-01-06,0.1065,0.1067,0.106,0.1062,0,0,0
2006-01-09,0.1062,0.107,0.1061,0.1068,0,0,0
2006-01-10,0.1068,0.1071,0.1065,0.1069,0,0,0
2006-01-11,0.1069,0.1071,0.1062,0.1063,0,0,0
2006-01-12,0.1063,0.1074,0.1061,0.1071,0,0,0
2006-01-13,0.1071,0.1072,0.1062,0.1064,0,0,0
2006-01-16,0.106,0.1065,0.106,0.1064,0,0,0
2006-01-17,0.1065,0.107,0.1062,0.1065,0,0,0
2006-01-18,0.1065,0.1068,0.1061,0.1065,0,0,0
2006-01-19,0.1065,0.1069,0.1063,0.1066,0,0,0
2006-01-20,0.1067,0.107,0.1062,0.1062,0,0,0
2006-01-23,0.1059,0.1059,0.1047,0.1048,0,0,0
2006-01-24,0.1048,0.1051,0.1048,0.1051,0,0,0
2006-01-25,0.1051,0.1054,0.1046,0.1053,0,0,0
2006-01-26,0.1053,0.1057,0.1051,0.1055,0,0,0
2006-01-27,0.1055,0.1066,0.1054,0.1065,0,0,0
2006-01-30,0.1065,0.1068,0.1064,0.1067,0,0,0
2006-01-31,0.1067,0.1067,0.1058,0.1061,0,0,0
2006-02-01,0.1061,0.1069,0.106,0.1068,0,0,0
2006-02-02,0.1068,0.1071,0.1065,0.1067,0,0,0
2006-02-03,0.1067,0.1076,0.1064,0.1072,0,0,0
2006-02-06,0.1071,0.1079,0.107,0.1077,0,0,0
2006-02-07,0.1077,0.1078,0.1073,0.1075,0,0,0
2006-02-08,0.1075,0.108,0.1075,0.1077,0,0,0
2006-02-09,0.1077,0.1078,0.1074,0.1074,0,0,0
2006-02-10,0.1074,0.1083,0.1068,0.1068,0,0,0
2006-02-13,0.1083,0.1084,0.1081,0.1081,0,0,0
2006-02-14,0.1082,0.1086,0.108,0.1081,0,0,0
2006-02-15,0.1081,0.1085,0.1079,0.1084,0,0,0
2006-02-16,0.1084,0.1087,0.1081,0.1082,0,0,0
2006-02-17,0.1082,0.1086,0.1079,0.108,0,0,0
2006-02-20,0.1078,0.108,0.1076,0.108,0,0,0
2006-02-21,0.108,0.1083,0.1079,0.1081,0,0,0
2006-02-22,0.1081,0.1086,0.108,0.1081,0,0,0
2006-02-23,0.1081,0.1083,0.1077,0.1081,0,0,0
2006-02-24,0.1081,0.1086,0.108,0.1085,0,0,0
2006-02-27,0.1088,0.109,0.1085,0.1088,0,0,0
2006-02-28,0.1088,0.1089,0.1079,0.108,0,0,0
2006-03-01,0.108,0.1083,0.1077,0.1081,0,0,0
2006-03-02,0.1081,0.1082,0.107,0.1071,0,0,0
2006-03-03,0.1071,0.1073,0.1069,0.107,0,0,0
2006-03-06,0.1066,0.1074,0.1066,0.1073,0,0,0
2006-03-07,0.1072,0.1085,0.1072,0.1083,0,0,0
2006-03-08,0.1084,0.1085,0.1079,0.108,0,0,0
2006-03-09,0.108,0.1082,0.1078,0.1082,0,0,0
2006-03-10,0.1082,0.1086,0.108,0.1084,0,0,0
2006-03-13,0.1081,0.1081,0.1077,0.1077,0,0,0
2006-03-14,0.1077,0.1079,0.1071,0.1072,0,0,0
2006-03-15,0.1072,0.1073,0.1067,0.1068,0,0,0
2006-03-16,0.1068,0.1071,0.1058,0.1059,0,0,0
2006-03-17,0.1059,0.1061,0.1056,0.1056,0,0,0
2006-03-20,0.1058,0.106,0.1057,0.106,0,0,0
2006-03-21,0.106,0.1067,0.106,0.1064,0,0,0
2006-03-22,0.1064,0.1068,0.1064,0.1067,0,0,0
2006-03-23,0.1067,0.1077,0.1067,0.1076,0,0,0
2006-03-24,0.1077,0.1078,0.107,0.1071,0,0,0
2006-03-27,0.1071,0.1073,0.1069,0.1073,0,0,0
2006-03-28,0.1073,0.1074,0.1064,0.1073,0,0,0
2006-03-29,0.1073,0.1075,0.1069,0.1071,0,0,0
2006-03-30,0.1071,0.1071,0.1059,0.1059,0,0,0
2006-03-31,0.1059,0.1066,0.1058,0.1064,0,0,0
2006-04-03,0.1063,0.1071,0.106,0.1061,0,0,0
2006-04-04,0.1062,0.1063,0.105,0.1051,0,0,0
2006-04-05,0.1051,0.1052,0.1047,0.1049,0,0,0
2006-04-06,0.1049,0.1056,0.1045,0.1055,0,0,0
2006-04-07,0.1055,0.1067,0.1055,0.1067,0,0,0
