Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-02,3604.33,3604.33,3604.33,3604.33,0,0,0
2006-01-03,3614.34,3614.34,3614.34,3614.34,0,0,0
2006-01-04,3652.46,3652.46,3652.46,3652.46,0,0,0
2006-01-05,3650.24,3650.24,3650.24,3650.24,0,0,0
2006-01-06,3666.99,3666.99,3666.99,3666.99,0,0,0
2006-01-09,3671.78,3671.78,3671.78,3671.78,0,0,0
2006-01-10,3644.94,3644.94,3644.94,3644.94,0,0,0
2006-01-11,3668.61,3668.61,3668.61,3668.61,0,0,0
2006-01-12,3670.2,3670.2,3670.2,3670.2,0,0,0
2006-01-13,3629.25,3629.25,3629.25,3629.25,0,0,0
2006-01-16,3644.41,3644.41,3644.41,3644.41,0,0,0
2006-01-17,3610.06,3610.06,3610.06,3610.06,0,0,0
2006-01-18,3570.17,3570.17,3570.17,3570.17,0,0,0
2006-01-19,3593.22,3593.22,3593.22,3593.22,0,0,0
2006-01-20,3550.8,3550.8,3550.8,3550.8,0,0,0
2006-01-23,3544.31,3544.31,3544.31,3544.31,0,0,0
2006-01-24,3532.68,3532.68,3532.68,3532.68,0,0,0
2006-01-25,3578.0,3578.0,3578.0,3578.0,0,0,0
2006-01-26,3641.42,3641.42,3641.42,3641.42,0,0,0
2006-01-27,3685.48,3685.48,3685.48,3685.48,0,0,0
2006-01-30,3677.52,3677.52,3677.52,3677.52,0,0,0
2006-01-31,3691.41,3691.41,3691.41,3691.41,0,0,0
2006-02-01,3728.34,3728.34,3728.34,3728.34,0,0,0
2006-02-02,3677.05,3677.05,3677.05,3677.05,0,0,0
2006-02-03,3678.48,3678.48,3678.48,3678.48,0,0,0
2006-02-06,3682.32,3682.32,3682.32,3682.32,0,0,0
2006-02-07,3680.79,3680.79,3680.79,3680.79,0,0,0
2006-02-08,3671.37,3671.37,3671.37,3671.37,0,0,0
2006-02-09,3726.81,3726.81,3726.81,3726.81,0,0,0
2006-02-10,3695.63,3695.63,3695.63,3695.63,0,0,0
2006-02-13,3727.46,3727.46,3727.46,3727.46,0,0,0
2006-02-14,3734.48,3734.48,3734.48,3734.48,0,0,0
2006-02-15,3729.79,3729.79,3729.79,3729.79,0,0,0
2006-02-16,3756.47,3756.47,3756.47,3756.47,0,0,0
2006-02-17,3767.7,3767.7,3767.7,3767.7,0,0,0
2006-02-20,3766.74,3766.74,3766.74,3766.74,0,0,0
2006-02-21,3779.51,3779.51,3779.51,3779.51,0,0,0
2006-02-22,3818.48,3818.48,3818.48,3818.48,0,0,0
2006-02-23,3813.29,3813.29,3813.29,3813.29,0,0,0
2006-02-24,3826.0,3826.0,3826.0,3826.0,0,0,0
