Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,2389.91,2389.91,2389.91,2389.91,0,0,0
2012-01-04,2349.89,2349.89,2349.89,2349.89,0,0,0
2012-01-05,2315.75,2315.75,2315.75,2315.75,0,0,0
2012-01-06,2298.65,2298.65,2298.65,2298.65,0,0,0
2012-01-09,2286.45,2286.45,2286.45,2286.45,0,0,0
2012-01-10,2347.47,2347.47,2347.47,2347.47,0,0,0
2012-01-11,2339.51,2339.51,2339.51,2339.51,0,0,0
2012-01-12,2345.85,2345.85,2345.85,2345.85,0,0,0
2012-01-13,2338.01,2338.01,2338.01,2338.01,0,0,0
2012-01-16,2361.56,2361.56,2361.56,2361.56,0,0,0
2012-01-17,2396.63,2396.63,2396.63,2396.63,0,0,0
2012-01-18,2390.64,2390.64,2390.64,2390.64,0,0,0
2012-01-19,2435.04,2435.04,2435.04,2435.04,0,0,0
2012-01-20,2426.96,2426.96,2426.96,2426.96,0,0,0
2012-01-23,2441.44,2441.44,2441.44,2441.44,0,0,0
2012-01-24,2432.07,2432.07,2432.07,2432.07,0,0,0
2012-01-25,2421.12,2421.12,2421.12,2421.12,0,0,0
2012-01-26,2460.4,2460.4,2460.4,2460.4,0,0,0
2012-01-27,2436.62,2436.62,2436.62,2436.62,0,0,0
2012-01-30,2404.62,2404.62,2404.62,2404.62,0,0,0
2012-01-31,2416.66,2416.66,2416.66,2416.66,0,0,0
2012-02-01,2470.79,2470.79,2470.79,2470.79,0,0,0
2012-02-02,2478.15,2478.15,2478.15,2478.15,0,0,0
2012-02-03,2515.15,2515.15,2515.15,2515.15,0,0,0
2012-02-06,2507.89,2507.89,2507.89,2507.89,0,0,0
2012-02-07,2514.12,2514.12,2514.12,2514.12,0,0,0
2012-02-08,2512.92,2512.92,2512.92,2512.92,0,0,0
2012-02-09,2522.34,2522.34,2522.34,2522.34,0,0,0
2012-02-10,2480.76,2480.76,2480.76,2480.76,0,0,0
2012-02-13,2491.54,2491.54,2491.54,2491.54,0,0,0
2012-02-14,2488.29,2488.29,2488.29,2488.29,0,0,0
2012-02-15,2493.96,2493.96,2493.96,2493.96,0,0,0
2012-02-16,2489.34,2489.34,2489.34,2489.34,0,0,0
2012-02-17,2520.31,2520.31,2520.31,2520.31,0,0,0
2012-02-20,2550.28,2550.28,2550.28,2550.28,0,0,0
2012-02-21,2541.6,2541.6,2541.6,2541.6,0,0,0
2012-02-22,2519.0,2519.0,2519.0,2519.0,0,0,0
2012-02-23,2508.08,2508.08,2508.08,2508.08,0,0,0
2012-02-24,2523.69,2523.69,2523.69,2523.69,0,0,0
2012-02-27,2513.06,2513.06,2513.06,2513.06,0,0,0
2012-02-28,2519.72,2519.72,2519.72,2519.72,0,0,0
2012-02-29,2512.11,2512.11,2512.11,2512.11,0,0,0
2012-03-01,2548.66,2548.66,2548.66,2548.66,0,0,0
2012-03-02,2546.16,2546.16,2546.16,2546.16,0,0,0
2012-03-05,2529.86,2529.86,2529.86,2529.86,0,0,0
2012-03-06,2443.52,2443.52,2443.52,2443.52,0,0,0
2012-03-07,2460.77,2460.77,2460.77,2460.77,0,0,0
2012-03-08,2514.22,2514.22,2514.22,2514.22,0,0,0
2012-03-09,2515.95,2515.95,2515.95,2515.95,0,0,0
2012-03-12,2514.97,2514.97,2514.97,2514.97,0,0,0
2012-03-13,2556.82,2556.82,2556.82,2556.82,0,0,0
2012-03-14,2574.79,2574.79,2574.79,2574.79,0,0,0
2012-03-15,2593.97,2593.97,2593.97,2593.97,0,0,0
2012-03-16,2608.3,2608.3,2608.3,2608.3,0,0,0
2012-03-19,2608.42,2608.42,2608.42,2608.42,0,0,0
2012-03-20,2576.61,2576.61,2576.61,2576.61,0,0,0
2012-03-21,2567.58,2567.58,2567.58,2567.58,0,0,0
2012-03-22,2530.22,2530.22,2530.22,2530.22,0,0,0
2012-03-23,2525.43,2525.43,2525.43,2525.43,0,0,0
2012-03-26,2539.87,2539.87,2539.87,2539.87,0,0,0
2012-03-27,2525.21,2525.21,2525.21,2525.21,0,0,0
2012-03-28,2496.69,2496.69,2496.69,2496.69,0,0,0
2012-03-29,2452.74,2452.74,2452.74,2452.74,0,0,0
2012-03-30,2477.28,2477.28,2477.28,2477.28,0,0,0
2012-04-02,2501.18,2501.18,2501.18,2501.18,0,0,0
2012-04-03,2458.98,2458.98,2458.98,2458.98,0,0,0
2012-04-04,2398.46,2398.46,2398.46,2398.46,0,0,0
2012-04-05,2392.54,2392.54,2392.54,2392.54,0,0,0
2012-04-10,2321.53,2321.53,2321.53,2321.53,0,0,0
2012-04-11,2341.36,2341.36,2341.36,2341.36,0,0,0
2012-04-12,2352.24,2352.24,2352.24,2352.24,0,0,0
2012-04-13,2291.51,2291.51,2291.51,2291.51,0,0,0
2012-04-16,2301.19,2301.19,2301.19,2301.19,0,0,0
2012-04-17,2367.05,2367.05,2367.05,2367.05,0,0,0
2012-04-18,2327.84,2327.84,2327.84,2327.84,0,0,0
2012-04-19,2284.67,2284.67,2284.67,2284.67,0,0,0
2012-04-20,2311.27,2311.27,2311.27,2311.27,0,0,0
2012-04-23,2244.83,2244.83,2244.83,2244.83,0,0,0
2012-04-24,2284.08,2284.08,2284.08,2284.08,0,0,0
2012-04-25,2322.91,2322.91,2322.91,2322.91,0,0,0
2012-04-26,2322.69,2322.69,2322.69,2322.69,0,0,0
2012-04-27,2344.02,2344.02,2344.02,2344.02,0,0,0
2012-04-30,2306.43,2306.43,2306.43,2306.43,0,0,0
2012-05-02,2290.31,2290.31,2290.31,2290.31,0,0,0
2012-05-03,2287.1,2287.1,2287.1,2287.1,0,0,0
2012-05-04,2248.34,2248.34,2248.34,2248.34,0,0,0
2012-05-07,2283.09,2283.09,2283.09,2283.09,0,0,0
2012-05-08,2236.11,2236.11,2236.11,2236.11,0,0,0
2012-05-09,2225.63,2225.63,2225.63,2225.63,0,0,0
2012-05-10,2247.38,2247.38,2247.38,2247.38,0,0,0
2012-05-11,2254.54,2254.54,2254.54,2254.54,0,0,0
2012-05-14,2201.95,2201.95,2201.95,2201.95,0,0,0
2012-05-15,2178.67,2178.67,2178.67,2178.67,0,0,0
2012-05-16,2175.34,2175.34,2175.34,2175.34,0,0,0
2012-05-18,2144.69,2144.69,2144.69,2144.69,0,0,0
2012-05-21,2150.16,2150.16,2150.16,2150.16,0,0,0
2012-05-22,2192.85,2192.85,2192.85,2192.85,0,0,0
2012-05-23,2134.05,2134.05,2134.05,2134.05,0,0,0
2012-05-24,2156.52,2156.52,2156.52,2156.52,0,0,0
2012-05-25,2161.87,2161.87,2161.87,2161.87,0,0,0
2012-05-29,2160.31,2160.31,2160.31,2160.31,0,0,0
2012-05-30,2116.18,2116.18,2116.18,2116.18,0,0,0
2012-05-31,2118.94,2118.94,2118.94,2118.94,0,0,0
2012-06-01,2068.66,2068.66,2068.66,2068.66,0,0,0
2012-06-04,2078.96,2078.96,2078.96,2078.96,0,0,0
2012-06-05,2087.31,2087.31,2087.31,2087.31,0,0,0
2012-06-06,2137.73,2137.73,2137.73,2137.73,0,0,0
2012-06-07,2143.08,2143.08,2143.08,2143.08,0,0,0
2012-06-08,2143.9,2143.9,2143.9,2143.9,0,0,0
2012-06-11,2137.7,2137.7,2137.7,2137.7,0,0,0
2012-06-12,2143.38,2143.38,2143.38,2143.38,0,0,0
2012-06-13,2143.5,2143.5,2143.5,2143.5,0,0,0
2012-06-14,2148.21,2148.21,2148.21,2148.21,0,0,0
2012-06-15,2181.23,2181.23,2181.23,2181.23,0,0,0
2012-06-18,2155.64,2155.64,2155.64,2155.64,0,0,0
2012-06-19,2198.01,2198.01,2198.01,2198.01,0,0,0
2012-06-20,2207.49,2207.49,2207.49,2207.49,0,0,0
2012-06-21,2199.42,2199.42,2199.42,2199.42,0,0,0
2012-06-22,2186.81,2186.81,2186.81,2186.81,0,0,0
2012-06-25,2130.71,2130.71,2130.71,2130.71,0,0,0
2012-06-26,2127.95,2127.95,2127.95,2127.95,0,0,0
2012-06-27,2165.61,2165.61,2165.61,2165.61,0,0,0
2012-06-28,2157.62,2157.62,2157.62,2157.62,0,0,0
2012-06-29,2264.72,2264.72,2264.72,2264.72,0,0,0
2012-07-02,2292.08,2292.08,2292.08,2292.08,0,0,0
2012-07-03,2320.43,2320.43,2320.43,2320.43,0,0,0
2012-07-04,2312.41,2312.41,2312.41,2312.41,0,0,0
2012-07-05,2284.92,2284.92,2284.92,2284.92,0,0,0
2012-07-06,2235.51,2235.51,2235.51,2235.51,0,0,0
2012-07-09,2227.91,2227.91,2227.91,2227.91,0,0,0
2012-07-10,2241.85,2241.85,2241.85,2241.85,0,0,0
2012-07-11,2246.23,2246.23,2246.23,2246.23,0,0,0
2012-07-12,2228.01,2228.01,2228.01,2228.01,0,0,0
2012-07-13,2259.09,2259.09,2259.09,2259.09,0,0,0
2012-07-16,2251.96,2251.96,2251.96,2251.96,0,0,0
2012-07-17,2250.75,2250.75,2250.75,2250.75,0,0,0
2012-07-18,2284.7,2284.7,2284.7,2284.7,0,0,0
2012-07-19,2302.45,2302.45,2302.45,2302.45,0,0,0
2012-07-20,2237.33,2237.33,2237.33,2237.33,0,0,0
2012-07-23,2179.31,2179.31,2179.31,2179.31,0,0,0
2012-07-24,2151.54,2151.54,2151.54,2151.54,0,0,0
2012-07-25,2159.09,2159.09,2159.09,2159.09,0,0,0
2012-07-26,2251.05,2251.05,2251.05,2251.05,0,0,0
2012-07-27,2301.23,2301.23,2301.23,2301.23,0,0,0
2012-07-30,2340.31,2340.31,2340.31,2340.31,0,0,0
2012-07-31,2325.72,2325.72,2325.72,2325.72,0,0,0
2012-08-02,2263.36,2263.36,2263.36,2263.36,0,0,0
2012-08-03,2372.58,2372.58,2372.58,2372.58,0,0,0
2012-08-06,2399.32,2399.32,2399.32,2399.32,0,0,0
2012-08-07,2440.24,2440.24,2440.24,2440.24,0,0,0
2012-08-08,2432.28,2432.28,2432.28,2432.28,0,0,0
2012-08-09,2437.04,2437.04,2437.04,2437.04,0,0,0
2012-08-10,2423.22,2423.22,2423.22,2423.22,0,0,0
2012-08-13,2415.96,2415.96,2415.96,2415.96,0,0,0
2012-08-14,2432.29,2432.29,2432.29,2432.29,0,0,0
2012-08-15,2430.39,2430.39,2430.39,2430.39,0,0,0
2012-08-16,2456.53,2456.53,2456.53,2456.53,0,0,0
2012-08-17,2471.53,2471.53,2471.53,2471.53,0,0,0
2012-08-20,2466.32,2466.32,2466.32,2466.32,0,0,0
2012-08-21,2490.27,2490.27,2490.27,2490.27,0,0,0
2012-08-22,2452.73,2452.73,2452.73,2452.73,0,0,0
2012-08-23,2429.17,2429.17,2429.17,2429.17,0,0,0
2012-08-24,2434.23,2434.23,2434.23,2434.23,0,0,0
